timestamp,pv_voltage_V,pv_current_A,pv_power_W,pv_status,battery_voltage_V,battery_current_A,battery_charge_power_W,battery_charge_set_W,battery_charge_voltage_V,battery_ovp_V,battery_uvp_V,grid_voltage_V,grid_current_A,grid_input_power_W,grid_charge_power_W,grid_freq_Hz,grid_status,output_switch,output_voltage_V,output_current_A,output_power_W,output_freq_Hz,temp_inverter_C,temp_boost_C,temp_transformer_C,fan_current_pct,fan_setpoint_pct,op_mode,inverter_on,ac_charging,bypassing,fault_active,faults,warnings,fault_code
2026-06-12T17:09:04.073118,0.0,0.0,0,Abnormal,34.1,0.0,0,68,0.0,52.0,38.8,20.5,0.36,40,40,6.44,Normal,0,0.0,0.0,0,0.0,3.4,2.1,0.0,0,22014,State 0,0,1,0,0,,,0
2026-06-12T17:09:07.073055,0.0,0.0,0,Abnormal,37.8,0.0,0,68,51.2,8.8,38.6,7.6,0.05,5,5,44.82,Normal,0,0.0,0.0,0,0.0,25.7,27.8,0.0,0,21994,PV fault,0,0,0,0,,,0
2026-06-12T17:09:10.073114,0.0,0.0,0,Abnormal,34.3,0.0,0,68,51.2,8.0,0.4,6.8,0.38,0,32,44.84,Normal,0,0.0,0.0,0,0.0,25.7,27.8,0.0,0,21994,PV fault,0,0,0,0,,,0
2026-06-12T17:09:13.073404,0.0,0.0,0,Abnormal,9.0,0.0,0,68,51.2,8.0,0.4,19.6,0.04,4,38,48.68,Normal,0,0.0,0.0,0,0.0,29.2,27.6,0.0,0,21994,PV fault,0,1,0,0,,,0
2026-06-12T17:09:16.073199,0.0,0.0,0,Abnormal,21.2,0.0,0,100,0.0,8.0,38.6,211.7,0.04,30,30,49.98,Normal,0,0.0,0.0,0,0.0,3.6,27.7,0.0,0,-9643,State 0,0,1,0,0,,,0
2026-06-12T17:09:19.073292,0.0,0.0,0,Abnormal,37.8,0.0,0,68,51.2,60.0,26.0,14.0,0.05,3,42,48.68,Normal,0,0.0,0.0,0,0.0,26.1,27.8,0.0,0,22352,PV fault,0,1,0,0,,,0
2026-06-12T17:09:22.073324,0.2,0.0,0,Abnormal,37.8,0.0,0,96,0.0,58.4,13.2,14.0,0.05,2,32,43.58,Normal,0,0.0,0.0,0,0.0,26.1,27.8,0.0,0,22352,PV fault,0,1,0,0,,,0
2026-06-12T17:09:25.073503,0.0,0.0,0,Abnormal,34.0,0.0,0,32,0.0,59.2,26.0,211.3,0.05,32,32,49.98,Normal,0,0.0,0.0,0,0.0,26.2,2.4,0.0,0,-2177,State 0,0,0,0,0,,,0
2026-06-12T17:09:28.073588,0.0,0.0,0,Abnormal,47.6,0.0,0,36,0.0,8.0,38.6,13.2,0.38,17,25,44.82,Abnormal,0,0.0,0.0,0,0.0,3.4,2.4,0.0,0,-2177,State 0,0,0,0,0,,,0
2026-06-12T17:09:31.073528,0.0,0.0,0,Abnormal,43.6,0.0,0,36,51.2,8.8,26.0,13.2,0.38,40,0,6.42,Abnormal,0,0.0,0.0,0,0.0,25.6,1.6,0.0,0,-385,PV fault,0,0,0,0,,,0
